"Notes"	"Month Day, Year"	"Month Day, Year Code"	Avg Daily Max Air Temperature (F)	Avg Daily Min Air Temperature (F)	Avg Daily Max Heat Index (F)
	"May 22, 1979"	"1979/05/22"	81.16	63.72	85.97
	"May 23, 1979"	"1979/05/23"	83.52	62.99	83.96
	"May 24, 1979"	"1979/05/24"	80.39	60.76	84.64
	"May 25, 1979"	"1979/05/25"	78.39	58.06	84.22
	"May 26, 1979"	"1979/05/26"	83.47	59.03	84.85
	"May 27, 1979"	"1979/05/27"	87.63	64.31	89.12
	"May 28, 1979"	"1979/05/28"	88.70	68.11	89.94
	"May 29, 1979"	"1979/05/29"	89.72	68.06	91.71
	"May 30, 1979"	"1979/05/30"	88.80	68.61	95.06
	"May 31, 1979"	"1979/05/31"	87.38	66.23	95.11
	"Jun 01, 1979"	"1979/06/01"	77.42	66.46	87.88
	"Jun 02, 1979"	"1979/06/02"	77.26	65.43	86.02
	"Jun 03, 1979"	"1979/06/03"	83.52	64.99	85.54
	"Jun 04, 1979"	"1979/06/04"	85.01	66.74	88.04
	"Jun 05, 1979"	"1979/06/05"	82.22	68.13	85.99
	"Jun 06, 1979"	"1979/06/06"	87.91	67.82	91.37
	"Jun 07, 1979"	"1979/06/07"	91.97	71.57	97.72
	"Jun 08, 1979"	"1979/06/08"	90.94	71.25	98.57
	"Jun 09, 1979"	"1979/06/09"	88.18	69.91	93.98
	"Jun 10, 1979"	"1979/06/10"	81.03	63.33	87.45
	"Jun 11, 1979"	"1979/06/11"	79.73	58.32	81.25
	"Jun 12, 1979"	"1979/06/12"	84.10	59.11	82.57
	"Jun 13, 1979"	"1979/06/13"	89.11	62.23	87.01
	"Jun 14, 1979"	"1979/06/14"	90.99	63.49	89.19
	"Jun 15, 1979"	"1979/06/15"	91.45	63.97	90.24
	"Jun 16, 1979"	"1979/06/16"	92.31	65.03	91.89
	"Jun 17, 1979"	"1979/06/17"	93.06	66.80	93.44
	"Jun 18, 1979"	"1979/06/18"	94.48	68.06	96.78
	"Jun 19, 1979"	"1979/06/19"	92.41	71.74	96.09
	"Jun 20, 1979"	"1979/06/20"	96.12	71.62	100.04
	"Jun 21, 1979"	"1979/06/21"	97.29	72.91	100.52
	"Jun 22, 1979"	"1979/06/22"	95.86	72.76	97.63
	"Jun 23, 1979"	"1979/06/23"	94.83	71.28	96.00
	"Jun 24, 1979"	"1979/06/24"	91.97	70.73	94.41
	"Jun 25, 1979"	"1979/06/25"	90.32	72.43	92.65
	"Jun 26, 1979"	"1979/06/26"	88.86	72.00	90.62
	"Jun 27, 1979"	"1979/06/27"	91.37	70.47	93.64
	"Jun 28, 1979"	"1979/06/28"	94.53	70.87	96.29
	"Jun 29, 1979"	"1979/06/29"	96.58	72.68	98.27
